modelo,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8457424349049963,0.5375547178232434,0.8469005052467937,0.6575454380802553,0.9235871765431171
LinearSVC,0.8468684025334271,0.5400146985892214,0.8428714859437753,0.6581409477471697,0.923210961614029
KNN,0.8026741731175229,0.4637413938345139,0.8138975255862159,0.5905828599242344,0.8810421424102068
DecisionTree,0.8288529204785362,0.5072358826770257,0.8066265060240964,0.6225616578553812,0.820091721336609
